User Stories/Tasks,Required for MVP,Name,Narrative Description,"Story Points (1,2,3,5,8,13,21)","Business Value Points (1,2,3,5,8)",Acceptance Criteria
User Story 22,Yes,View Employee Stock Purchase Program information,"As an employee, I would like to view the employee stock purchase information and access resources if I have further questions.",5,8,"View the employee stock purchase program documents
Resources to explore enrollment in the stock purchase program
a. Stock purchase program calculator that provides the current stock price and employee offered discount
b. Tool to calculate payroll deduction impact
c. Legal terms and conditions
List of contacts for further questions and enrollment process"
User Story 23,Yes,Print W-2,"As an employee, the information on your W-2 is extremely important when preparing your tax return.",5,8,"View and print Form W-2 in the IRS specified format
Provide a link to the latest Form W-2 on the Internal Revenue Service website
List the W-2 forms from the previous 2 years"
User Story 24,Yes,Charitable contribution edit,"As an employee, I would like to view, select and elect to contribute charitable donations to a charity of my choice. Have the option to view a list of approved charities for contribution. Also need the ability to request a new charity to be added to the approved list. Select a charity for contribution, enter an amount and frequency and choose to deduct charitable donations through payroll deductions.",5,3,"Ability to view, select and contribute to a charity of choice
Submit a request to add a new charity
Authorize payroll deduction"
User Story 25,No,Community volunteer options ,"As an employee, I would like to option to view, research and sign up for community volunteer opportunities. This is an employee contribution forum to post and register for volunteer opportunities. Direct all volunteer sign ups to the community event or organization website or event listing.",5,1,"A community sourced list of volunteer opportunities
The ability to review and approve a volunteer opportunity submission
Send out an email to the employee once the volunteer opportunity has been approved"
User Story 26,No,Export to Payroll service,"As an admin, I would like to enroll export updates to employee profile information to the payroll service. The payroll service is a third-party system through API calls",8,8,"Export profile changes to payroll service
Generate exception report for any errors
Perform integration testing with Finance"
User Story 27,No,Import from payroll service,"As an HR admin, I would like the ability to import the latest payroll run for an employee.",8,5,"Only HR admin can have access to import from the payroll service
If the latest payroll run is not available, then send an automated email to finance
Capture audit trail for all admin configuration changes"
User Story 28,Yes,Update personal profile info,"As an employee, I want to the option to update my profile information so that it reflects the latest changes.",8,3,"Have the option to update the following on the profile:
a. Name
b. Photo
c. Address
d. Education
e. Training
f. Skills"
User Story 29,No,Update Employee Stock Purchase options,Display and provide ability to edit/change contribution to employee stock purchase program. Select the per payroll contributions to purchase employee stock options at a discounted price.,13,3,"Enter the payroll contribution towards employee stock purchase
Authorize payroll deduction for employee stock purchase
View the history of stock purchase
Elect to receive employee stock purchase information and notices via electronically"
User Story 30,No,Shop for company logo items,"As the Head of HR, I would like to offer a number of company logo items for purchase to our employees, so that they feel a sense of community and connection to their peers and to the organization. This is a storefront for company logo items.",8,2,"Administrator panel for listing items. ( only HR can access)
Employee can browse the catalog and add items to the shopping cart
Employees can check out and pay by credit card or by using a discount code"
User Story 31,No,Wellness program,"As a HR leader, I would like to have the wellness program information available and easily accessible to all employees, so that they can explore and select what fits their need. This program will also promote the well-being of our employees and their families.",13,2,"Provide access to all wellness resources
Ability to sign up for selected programs
Instructions to sign up for Dr. on Call App
Record preventative care visits to earn points and cash:
a. Annual physical
b. Diabetes screening
c. High blood pressure screening
d. Lung cancer screening
e. Counselling for addiction, obesity and nutrition"
User Story 32,No,Quicken download,"As an HR admin, I would like the ability to download journal entries from Quicken.",21,1,"Only HR admin can have access this functionality
Schedule the download on a daily basis, every day at 6:00 p.m.
Generate an error report and email notification if the process fails"
User Story 33,Yes,SOX Audit Compliance Reporting,"As an HR admin, I would like the ability to query and generate audit reports for SOX audits.",2,5,"Ability to query the employee datastore using a data access tool
Create an compliance audit dashboard
Ability to download an audit log related to user access"
User Story 34,Yes,Allowance for W-2 Hourly Employees,"As an HR admin, I would like the ability to add allowance for W-2 hourly employees",3,8,"Allow HR admin to add allowance
Automated workflow for manager approval
Generate a daily allowance report"
User Story 35,No,Usability for Employee Experience,"As an employee, I would like the ability to use the portal on a number of devices. Also need to ability to use the accessibility features of standard browsers",3,8,Compliance with Section 508 accessibility standard
User Story 36,Yes,Employee Validation Rules,"As an HR admin, I would like the ability to add employee validation rules",1,3,Need to explore and expand this story.
User Story 37,Yes,Charitable Contribution Tax Savings,"As an employee, I would like to understand how much tax savings were generated because of my charitable contributions",1,2,Discuss with finance if this is possible
User Story 38,Yes,Notification of Changes to Deductions,"As an employee, I would like the ability to be notified of any changes to my payroll deductions",3,5,Any change to deductions to trigger an email and txt if user has opted for txt updates
User Story 39,No,Separate Pop-Up Windows,"As a UI designer, I would like to standardize all pop-up windows",3,2,"Apply company brand style guide
Test on supported browsers and mobile devices"
User Story 40,No,Links to Outside Investments,"As an employee, I would like the ability to link to investments outside my company payroll",2,1,"As an employee, I would like the ability to link to investments outside my company payroll"
User Story 41,No,Links to Outside Charitable Contributions,"As an employee, I would like the ability to register my charitable organization for automatic payroll contributions",1,8,"Ability to add a charitable organization of your choice
Ability to set up payroll contributions in % or amounts
Update the organization wide Charitable dashboard"
